"Rank","Name","Team","Andy","Jason","Mike","Age"
"121","Justin Jackson","","119","122","121","27.3"
"122","Tiyon Evans","","130","103","132","22.2"
"123","Marlon Mack","ARI","120","123","122","27.5"
"124","Craig Reynolds","DET","121","124","123","27.2"
"125","Ty Johnson","","122","125","124","25.9"
"126","Sony Michel","","123","126","125","28.5"
"127","Mark Ingram II","","124","127","126","33.7"
"128","Jaret Patterson","WAS","125","128","127","23.7"
"129","Salvon Ahmed","MIA","126","129","128","24.6"
"130","Royce Freeman","LAR","127","130","129","27.5"
"131","Kylin Hill","","128","131","130","25"
"132","Caleb Huntley","","129","132","131","24.9"
"133","Travis Homer","CHI","131","133","133","25"
"134","Darrynton Evans","BUF","132","134","134","25.1"
"135","Benny Snell Jr.","DET","133","135","135","25.5"
"136","Gary Brightwell","NYG","134","136","136","24.5"
"137","Demetric Felton Jr.","CLE","135","137","137","25.1"
